0	0	0	0
0.1	2.39999999999957E-6	0	0
0.2	4.89999999999964E-6	0	0
0.3	7.3999999999997E-6	0	0
0.4	9.89999999999976E-6	0	0
0.5	1.23999999999998E-5	0	0
0.6	1.48999999999999E-5	0	0
0.7	1.73999999999999E-5	0	0
0.8	1.99E-5	0	0
0.9	2.00672E-5	0	0
1	2.01442E-5	0	0
1.1	2.02285E-5	0	0
1.2	2.032E-5	0	0
1.3	2.04186E-5	0	0
1.4	2.05245E-5	0	0
1.5	2.06375E-5	0	0
1.6	2.07577E-5	0	0
1.7	2.0885E-5	0	0
1.8	2.10195E-5	0	0
1.9	2.11611E-5	0	0
2	2.13099E-5	0	0
2.1	2.14657E-5	0	0
2.2	2.16286E-5	0	0
2.3	2.17987E-5	0	0
2.4	2.19758E-5	0	0
2.5	2.21599E-5	0	0
2.6	2.23511E-5	0	0
2.7	2.25494E-5	0	0
2.8	2.27547E-5	0	0
2.9	2.2967E-5	0	0
3	2.31863E-5	0	0
3.1	2.34126E-5	0	0
3.2	2.36459E-5	0	0
3.3	2.38862E-5	0	0
3.4	2.41334E-5	0	0
3.5	2.43875E-5	0	0
3.6	2.46487E-5	0	0
3.7	2.49167E-5	0	0
3.8	2.51916E-5	0	0
3.9	2.54735E-5	0	0
4	2.57622E-5	0	0
4.1	2.60578E-5	0	0
4.2	2.63603E-5	0	0
4.3	2.66696E-5	0	0
4.4	2.69858E-5	0	0
4.5	2.73088E-5	0	0
4.6	2.76386E-5	0	0
4.7	2.79752E-5	0	0
4.8	2.83186E-5	0	0
4.9	2.86688E-5	0	0
5.00001	2.90257E-5	0	0
5.10001	2.93894E-5	0	0
5.20001	2.97599E-5	0	0
5.30001	3.0137E-5	0	0
5.40001	3.05209E-5	0	0
5.50001	3.09115E-5	0	0
5.60001	3.13087E-5	0	0
5.70001	3.17126E-5	0	0
5.80001	3.21232E-5	0	0
5.90001	3.25405E-5	0	0
6.00001	3.29643E-5	0	0
6.10001	3.33948E-5	0	0
6.20001	3.38319E-5	0	0
6.30001	3.42756E-5	0	0
6.40001	3.47259E-5	0	0
6.50001	3.51827E-5	0	0
6.60001	3.56461E-5	0	0
6.70001	3.6116E-5	0	0
6.80001	3.65925E-5	0	0
6.90001	3.70754E-5	0	0
7.00001	3.75649E-5	0	0
7.10001	3.80608E-5	0	0
7.20001	3.85632E-5	0	0
7.30001	3.90721E-5	0	0
7.40001	3.95874E-5	0	0
7.50001	4.01091E-5	0	0
7.60001	4.06372E-5	0	0
7.70001	4.11718E-5	0	0
7.80001	4.17127E-5	0	0
7.90001	4.226E-5	0	0
8.00001	4.28136E-5	0	0
8.10001	4.33736E-5	0	0
8.20001	4.39399E-5	0	0
8.30001	4.45125E-5	0	0
8.40001	4.50914E-5	0	0
8.50001	4.56765E-5	0	0
8.60001	4.6268E-5	0	0
8.70001	4.68657E-5	0	0
8.80001	4.74696E-5	0	0
8.90001	4.80798E-5	0	0
9.00001	4.86961E-5	0	0
9.10001	4.93186E-5	0	0
9.20001	4.99474E-5	0	0
9.30001	5.05822E-5	0	0
9.40001	5.12232E-5	0	0
9.50001	5.18704E-5	0	0
9.60001	5.25236E-5	0	0
9.70001	5.3183E-5	0	0
9.80001	5.38484E-5	0	0
9.90001	5.45199E-5	0	0
10.00001	5.51974E-5	0	0
10.10001	5.5881E-5	0	0
10.20001	5.65706E-5	0	0
10.30001	5.72662E-5	0	0
10.40001	5.79677E-5	0	0
10.50001	5.86753E-5	0	0
10.60001	5.93887E-5	0	0
10.70001	6.01082E-5	0	0
10.80001	6.08335E-5	0	0
10.90001	6.15648E-5	0	0
11.00001	6.23019E-5	0	0
11.10001	6.30449E-5	0	0
11.20001	6.37937E-5	0	0
11.30001	6.45484E-5	0	0
11.40001	6.5309E-5	0	0
11.50001	6.60753E-5	0	0
11.60001	6.68474E-5	0	0
11.70001	6.76252E-5	0	0
11.80001	6.84089E-5	0	0
11.90001	6.91982E-5	0	0
12.00001	6.99933E-5	0	0
12.10001	7.07941E-5	0	0
12.20001	7.16005E-5	0	0
12.30001	7.24126E-5	0	0
12.40001	7.32304E-5	0	0
12.50001	7.40538E-5	0	0
12.60001	7.48828E-5	0	0
12.70001	7.57175E-5	0	0
12.80001	7.65577E-5	0	0
12.90001	7.74034E-5	0	0
13.00001	7.82547E-5	0	0
13.10001	7.91116E-5	0	0
13.20001	7.99739E-5	0	0
13.30001	8.08417E-5	0	0
13.40001	8.1715E-5	0	0
13.50001	8.25938E-5	0	0
13.60001	8.3478E-5	0	0
13.70001	8.43676E-5	0	0
13.80001	8.52626E-5	0	0
13.90001	8.6163E-5	0	0
14.00001	8.70687E-5	0	0
14.10001	8.79798E-5	0	0
14.20001	8.88962E-5	0	0
14.30001	8.9818E-5	0	0
14.40001	9.0745E-5	0	0
14.50001	9.16773E-5	0	0
14.60001	9.26148E-5	0	0
14.70001	9.35576E-5	0	0
14.80001	9.45056E-5	0	0
14.90001	9.54588E-5	0	0
15.00002	9.64171E-5	0	0
15.10002	9.73807E-5	0	0
15.20002	9.83493E-5	0	0
15.30002	9.93231E-5	0	0
15.40002	1.00302E-4	0	0
15.50002	1.01286E-4	0	0
15.60002	1.02275E-4	0	0
15.70002	1.03269E-4	0	0
15.80002	1.04268E-4	0	0
15.90002	1.05272E-4	0	0
16.00002	1.06281E-4	0	0
16.10002	1.07295E-4	0	0
16.20002	1.08314E-4	0	0
16.30002	1.09338E-4	0	0
16.40002	1.10367E-4	0	0
16.50002	1.11401E-4	0	0
16.60002	1.12439E-4	0	0
16.70002	1.13483E-4	0	0
16.80002	1.14531E-4	0	0
16.90002	1.15584E-4	0	0
17.00002	1.16642E-4	0	0
17.10002	1.17704E-4	0	0
17.20002	1.18772E-4	0	0
17.30002	1.19844E-4	0	0
17.40002	1.2092E-4	0	0
17.50002	1.22002E-4	0	0
17.60002	1.23088E-4	0	0
17.70002	1.24179E-4	0	0
17.80002	1.25274E-4	0	0
17.90002	1.26374E-4	0	0
18.00002	1.27479E-4	0	0
18.10002	1.28588E-4	0	0
18.20002	1.29701E-4	0	0
18.30002	1.30819E-4	0	0
18.40002	1.31942E-4	0	0
18.50002	1.33069E-4	0	0
18.60002	1.34201E-4	0	0
18.70002	1.35337E-4	0	0
18.80002	1.36477E-4	0	0
18.90002	1.37622E-4	0	0
19.00002	1.38771E-4	0	0
19.10002	1.39925E-4	0	0
19.20002	1.41083E-4	0	0
19.30002	1.42245E-4	0	0
19.40002	1.43411E-4	0	0
19.50002	1.44582E-4	0	0
19.60002	1.45757E-4	0	0
19.70002	1.46936E-4	0	0
19.80002	1.48119E-4	0	0
19.90002	1.49307E-4	0	0
20.00002	1.50498E-4	0	0
20.10002	1.51694E-4	0	0
20.20002	1.52894E-4	0	0
20.30002	1.54098E-4	0	0
20.40002	1.55306E-4	0	0
20.50002	1.56518E-4	0	0
20.60002	1.57734E-4	0	0
20.70002	1.58954E-4	0	0
20.80002	1.60178E-4	0	0
20.90002	1.61406E-4	0	0
21.00002	1.62638E-4	0	0
21.10002	1.63874E-4	0	0
21.20002	1.65114E-4	0	0
21.30002	1.66358E-4	0	0
21.40002	1.67605E-4	0	0
21.50002	1.68856E-4	0	0
21.60002	1.70111E-4	0	0
21.70002	1.7137E-4	0	0
21.80002	1.72633E-4	0	0
21.90002	1.73899E-4	0	0
22.00002	1.75169E-4	0	0
22.10002	1.76443E-4	0	0
22.20002	1.7772E-4	0	0
22.30002	1.79001E-4	0	0
22.40002	1.80286E-4	0	0
22.50002	1.81574E-4	0	0
22.60002	1.82866E-4	0	0
22.70002	1.84161E-4	0	0
22.80002	1.8546E-4	0	0
22.90002	1.86762E-4	0	0
23.00002	1.88068E-4	0	0
23.10002	1.89377E-4	0	0
23.20002	1.90689E-4	0	0
23.30002	1.92006E-4	0	0
23.40002	1.93325E-4	0	0
23.50002	1.94648E-4	0	0
23.60002	1.95974E-4	0	0
23.70002	1.97303E-4	0	0
23.80002	1.98636E-4	0	0
23.90002	1.99972E-4	0	0
24.00002	2.01311E-4	0	0
24.10002	2.02654E-4	0	0
24.20002	2.03999E-4	0	0
24.30002	2.05348E-4	0	0
24.40002	2.067E-4	0	0
24.50002	2.08055E-4	0	0
24.60002	2.09413E-4	0	0
24.70002	2.10774E-4	0	0
24.80002	2.12138E-4	0	0
24.90002	2.13506E-4	0	0
25.00003	2.14876E-4	0	0
25.10003	2.16249E-4	0	0
25.20003	2.17625E-4	0	0
25.30003	2.19004E-4	0	0
25.40003	2.20386E-4	0	0
25.50003	2.21771E-4	0	0
25.60003	2.23159E-4	0	0
25.70003	2.24549E-4	0	0
25.80003	2.25943E-4	0	0
25.90003	2.27339E-4	0	0
26.00003	2.28738E-4	0	0
26.10003	2.30139E-4	0	0
26.20003	2.31543E-4	0	0
26.30003	2.3295E-4	0	0
26.40003	2.3436E-4	0	0
26.50003	2.35772E-4	0	0
26.60003	2.37187E-4	0	0
26.70003	2.38604E-4	0	0
26.80003	2.40024E-4	0	0
26.90003	2.41447E-4	0	0
27.00003	2.42872E-4	0	0
27.10003	2.44299E-4	0	0
27.20003	2.45729E-4	0	0
27.30003	2.47162E-4	0	0
27.40003	2.48596E-4	0	0
27.50003	2.50033E-4	0	0
27.60003	2.51473E-4	0	0
27.70003	2.52915E-4	0	0
27.80003	2.54359E-4	0	0
27.90003	2.55805E-4	0	0
28.00003	2.57254E-4	0	0
28.10003	2.58704E-4	0	0
28.20003	2.60157E-4	0	0
28.30003	2.61613E-4	0	0
28.40003	2.6307E-4	0	0
28.50003	2.64529E-4	0	0
28.60003	2.65991E-4	0	0
28.70003	2.67454E-4	0	0
28.80003	2.6892E-4	0	0
